Random number seed:  2997058579942705932
# Trajectories at each energy & theta:  10000
Beam landing energies (eV):  [1.0, 5.0, 10.0, 20.0, 35.0, 50.0, 75.0, 100.0, 125.0, 150.0, 175.0, 200.0, 250.0, 300.0, 350.0, 400.0, 500.0, 800.0, 1000.0, 1500.0, 2000.0, 3500.0, 5000.0, 8000.0, 10000.0, 15000.0, 20000.0, 29975.0]
Sample angles (deg):  [0.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 82.0, 85.0, 86.0, 87.0, 88.0, 89.0]
Beam size (standard deviation, in nm):  0.5

beamE (eV)	theta (deg)	BSE yield	SE yield	time (h)
  8000.0 	    70.0 	0.542 	0.203  	6.469
 10000.0 	    70.0 	0.542 	0.176  	6.526
 15000.0 	    70.0 	0.527 	0.122  	6.606
 20000.0 	    70.0 	0.524 	0.096  	6.717
 29975.0 	    70.0 	0.523 	0.066  	6.875
     1.0 	    80.0 	-0.000 	0.026  	6.876
     5.0 	    80.0 	0.000 	0.069  	6.876
    10.0 	    80.0 	0.000 	0.105  	6.876
    20.0 	    80.0 	0.000 	0.203  	6.877
    35.0 	    80.0 	-0.000 	0.360  	6.877
    50.0 	    80.0 	0.000 	0.501  	6.878
    75.0 	    80.0 	0.086 	0.668  	6.879
   100.0 	    80.0 	0.153 	0.782  	6.880
   125.0 	    80.0 	0.208 	0.895  	6.882
   150.0 	    80.0 	0.260 	0.963  	6.883
   175.0 	    80.0 	0.299 	1.028  	6.885
   200.0 	    80.0 	0.343 	1.072  	6.887
   250.0 	    80.0 	0.399 	1.104  	6.889
   300.0 	    80.0 	0.435 	1.119  	6.892
   350.0 	    80.0 	0.484 	1.117  	6.895
   400.0 	    80.0 	0.502 	1.135  	6.898
   500.0 	    80.0 	0.545 	1.099  	6.901
   800.0 	    80.0 	0.610 	1.029  	6.907
  1000.0 	    80.0 	0.648 	0.963  	6.913
  1500.0 	    80.0 	0.674 	0.825  	6.921
  2000.0 	    80.0 	0.685 	0.713  	6.932
  3500.0 	    80.0 	0.694 	0.561  	6.950
  5000.0 	    80.0 	0.698 	0.468  	6.973
  8000.0 	    80.0 	0.690 	0.347  	7.010
 10000.0 	    80.0 	0.695 	0.298  	7.052
 15000.0 	    80.0 	0.687 	0.223  	7.113
 20000.0 	    80.0 	0.675 	0.185  	7.198
 29975.0 	    80.0 	0.680 	0.129  	7.319
     1.0 	    82.0 	0.000 	0.025  	7.319
     5.0 	    82.0 	0.000 	0.067  	7.319
    10.0 	    82.0 	0.000 	0.108  	7.320
    20.0 	    82.0 	0.000 	0.202  	7.320
    35.0 	    82.0 	0.000 	0.362  	7.321
    50.0 	    82.0 	0.000 	0.506  	7.321
    75.0 	    82.0 	0.088 	0.654  	7.322
   100.0 	    82.0 	0.147 	0.817  	7.323
   125.0 	    82.0 	0.214 	0.913  	7.325
   150.0 	    82.0 	0.262 	0.973  	7.326
   175.0 	    82.0 	0.313 	1.027  	7.328
   200.0 	    82.0 	0.356 	1.057  	7.330
   250.0 	    82.0 	0.396 	1.118  	7.332
   300.0 	    82.0 	0.452 	1.152  	7.334
   350.0 	    82.0 	0.489 	1.129  	7.337
   400.0 	    82.0 	0.526 	1.120  	7.339
   500.0 	    82.0 	0.564 	1.095  	7.343
   800.0 	    82.0 	0.638 	1.043  	7.347
  1000.0 	    82.0 	0.672 	0.963  	7.353
  1500.0 	    82.0 	0.704 	0.865  	7.361
  2000.0 	    82.0 	0.718 	0.763  	7.371
  3500.0 	    82.0 	0.729 	0.624  	7.387
  5000.0 	    82.0 	0.723 	0.526  	7.409
  8000.0 	    82.0 	0.738 	0.394  	7.442
 10000.0 	    82.0 	0.724 	0.354  	7.483
 15000.0 	    82.0 	0.724 	0.272  	7.541
 20000.0 	    82.0 	0.723 	0.215  	7.615
 29975.0 	    82.0 	0.706 	0.151  	7.731
     1.0 	    85.0 	-0.000 	0.024  	7.731
     5.0 	    85.0 	-0.000 	0.066  	7.731
    10.0 	    85.0 	0.000 	0.110  	7.732
    20.0 	    85.0 	0.000 	0.199  	7.732
    35.0 	    85.0 	0.000 	0.362  	7.733
    50.0 	    85.0 	0.000 	0.500  	7.734
    75.0 	    85.0 	0.089 	0.641  	7.734
   100.0 	    85.0 	0.164 	0.792  	7.736
   125.0 	    85.0 	0.215 	0.899  	7.737
   150.0 	    85.0 	0.266 	0.988  	7.739
   175.0 	    85.0 	0.310 	1.038  	7.740
   200.0 	    85.0 	0.354 	1.063  	7.742
   250.0 	    85.0 	0.428 	1.125  	7.745
   300.0 	    85.0 	0.461 	1.148  	7.747
   350.0 	    85.0 	0.501 	1.127  	7.750
   400.0 	    85.0 	0.530 	1.118  	7.752
   500.0 	    85.0 	0.570 	1.131  	7.756
   800.0 	    85.0 	0.664 	1.039  	7.760
  1000.0 	    85.0 	0.695 	0.992  	7.766
  1500.0 	    85.0 	0.742 	0.883  	7.773
  2000.0 	    85.0 	0.748 	0.808  	7.782
  3500.0 	    85.0 	0.779 	0.664  	7.795
  5000.0 	    85.0 	0.786 	0.582  	7.812
  8000.0 	    85.0 	0.774 	0.482  	7.839
 10000.0 	    85.0 	0.785 	0.431  	7.872
 15000.0 	    85.0 	0.795 	0.376  	7.920
 20000.0 	    85.0 	0.784 	0.296  	7.983
 29975.0 	    85.0 	0.780 	0.225  	8.072
     1.0 	    86.0 	0.000 	0.025  	8.073
     5.0 	    86.0 	0.000 	0.067  	8.073
    10.0 	    86.0 	0.000 	0.101  	8.073
    20.0 	    86.0 	0.000 	0.197  	8.074
    35.0 	    86.0 	-0.000 	0.358  	8.074
    50.0 	    86.0 	0.000 	0.513  	8.075
    75.0 	    86.0 	0.084 	0.666  	8.076
   100.0 	    86.0 	0.160 	0.797  	8.077
   125.0 	    86.0 	0.223 	0.897  	8.078
   150.0 	    86.0 	0.267 	0.978  	8.079
   175.0 	    86.0 	0.318 	1.041  	8.081
   200.0 	    86.0 	0.351 	1.066  	8.083
   250.0 	    86.0 	0.422 	1.105  	8.085
   300.0 	    86.0 	0.459 	1.132  	8.087
