Random number seed:  -8704197715963060969
# Trajectories at each energy & theta:  10000
Beam landing energies (eV):  [1.0, 5.0, 10.0, 20.0, 35.0, 50.0, 75.0, 100.0, 125.0, 150.0, 175.0, 200.0, 250.0, 300.0, 350.0, 400.0, 500.0, 800.0, 1000.0, 1500.0, 2000.0, 3500.0, 5000.0, 8000.0, 10000.0, 15000.0, 20000.0, 29975.0]
Sample angles (deg):  [0.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 82.0, 85.0, 86.0, 87.0, 88.0, 89.0]
Beam size (standard deviation, in nm):  0.5

beamE (eV)	theta (deg)	BSE yield	SE yield	time (h)
   175.0 	    82.0 	0.424 	0.656  	7.218
   200.0 	    82.0 	0.440 	0.694  	7.220
   250.0 	    82.0 	0.490 	0.741  	7.223
   300.0 	    82.0 	0.489 	0.783  	7.226
   350.0 	    82.0 	0.522 	0.798  	7.229
   400.0 	    82.0 	0.543 	0.788  	7.232
   500.0 	    82.0 	0.582 	0.782  	7.236
   800.0 	    82.0 	0.647 	0.723  	7.242
  1000.0 	    82.0 	0.672 	0.685  	7.249
  1500.0 	    82.0 	0.701 	0.653  	7.259
  2000.0 	    82.0 	0.719 	0.571  	7.271
  3500.0 	    82.0 	0.724 	0.448  	7.291
  5000.0 	    82.0 	0.730 	0.369  	7.317
  8000.0 	    82.0 	0.726 	0.302  	7.357
 10000.0 	    82.0 	0.729 	0.248  	7.407
 15000.0 	    82.0 	0.724 	0.199  	7.478
 20000.0 	    82.0 	0.725 	0.160  	7.570
 29975.0 	    82.0 	0.714 	0.118  	7.707
     1.0 	    85.0 	0.921 	0.001  	7.707
     5.0 	    85.0 	0.834 	0.007  	7.707
    10.0 	    85.0 	0.770 	0.018  	7.707
    20.0 	    85.0 	0.686 	0.048  	7.708
    35.0 	    85.0 	0.612 	0.108  	7.708
    50.0 	    85.0 	0.563 	0.177  	7.708
    75.0 	    85.0 	0.524 	0.263  	7.709
   100.0 	    85.0 	0.512 	0.359  	7.710
   125.0 	    85.0 	0.524 	0.414  	7.711
   150.0 	    85.0 	0.525 	0.490  	7.712
   175.0 	    85.0 	0.533 	0.537  	7.714
   200.0 	    85.0 	0.555 	0.560  	7.715
   250.0 	    85.0 	0.560 	0.629  	7.717
   300.0 	    85.0 	0.583 	0.662  	7.720
   350.0 	    85.0 	0.602 	0.691  	7.722
   400.0 	    85.0 	0.616 	0.689  	7.725
   500.0 	    85.0 	0.648 	0.725  	7.729
   800.0 	    85.0 	0.691 	0.686  	7.734
  1000.0 	    85.0 	0.720 	0.695  	7.739
  1500.0 	    85.0 	0.743 	0.630  	7.748
